cat,bat,rat,pat,mat
man,fan,pan,van,can
map,cap,lap,nap,tap
ham,jam,dam,Pam,yam
cab,dab,jab,tab,lab
dad,sad,lad,mad,pad
bag,tag,wag,rag,lag
rat,ran,ram,rap,rag
sat,sad,sam,sap,sag
ban,tan,fat,vat,had
bad,hat,nab,sam,gag
get,wet,jet,net,pet
met,set,let,bet,yet
ten,hen,men,pen,ken
fed,ted,wed,bed,red
bet,bed,ben,be
wet,men,beg,red,yet
web,hem,leg,yes,peg
big,pig,wig,fig,jig
bin,fin,pin,tin,win
dip,hip,lip,sip,tip
bit,fit,hit,lit,pit
hid,kid,lid,bid,did
him,dim,jim,tim,rim
did,dig,dim,din,dip
rib,rid,rig,rim,rip
pig,did,tin,lip,sit
bib,fib,kin,kim,kit
hop,mop,pop,sop,top
log,dog,fog,hog,jog
dot,got,hot,not,pot
bob,job,mob,rob,sob
god,nod,pod,rod,cod
cob,cod,cog,cop,cot
lob,log,lop,lo
top,dog,hot,job,rod
bog,jot,don,ron,tom
dug,jug,mug,rug,tug
cub,hub,rub,sub,tub
fun,gun,pun,run,sun
nut,rut,gut,cut,but
gum,hum,sum,yu
bus,bud,bun,but,bug
hub,hug,hum,hu
dug,tub,sun,cut,gum
cup,pup,bud,dud,mud
bad,bed,bid,bu
bag,beg,big,bog,bug
ban,ben,bin,bu
bat,bet,bit,bu
dan,den,din,don,dun
fan,fen,fin,fu
ham,hem,him,hu
hat,hit,hot,hu
lag,leg,log,lu
pan,pen,pin,pu
pat,pet,pit,po
pup,dud,mud,had,tad
bib,nab,nip,zip,zap
tom,ron,jot,kit,wit
wax,box,fox,fix,mix
